Name,Gross
Star Wars: Episode VII - The Force Awakens,936662225
Avengers: Endgame,858373000
Avatar,760507625
Avengers: Infinity War,678815482
Titanic,659325379
The Avengers,623279547
Incredibles 2,608581744
The Dark Knight,534858444
Rogue One,532177324
The Dark Knight Rises,448139099
E.T. the Extra-Terrestrial,435110554
Toy Story 4,434038008
The Lion King,422783777
Toy Story 3,415004880
Captain America: Civil War,408084349
Jurassic Park,402453882
Guardians of the Galaxy Vol. 2,389813101
Harry Potter and the Deathly Hallows: Part 2,381011219
Finding Nemo,380843261
The Lord of the Rings: The Return of the King,377845905
Deadpool,363070709
Inside Out,356461711
The Lord of the Rings: The Two Towers,342551365
Zootopia,341268248
Joker,335451311
Guardians of the Galaxy,333176600
Forrest Gump,330252182
Deadpool 2,324591735
Star Wars,322740140
